,0
0,3.9102988243103027
1,3.9044017791748047
2,3.8856945037841797
3,3.8095762729644775
4,3.7006826400756836
5,3.6178689002990723
6,3.54335880279541
7,3.4807705879211426
8,3.437673568725586
9,3.410081148147583
